,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

16,,Cu,,,,19.4,,,,,ppm,,,0.814,,,,,1.56,,,4.69,,,,,,,,,,,,,,,,,,,
17,,Co,,,,(10.1),,,,,ppm,,,3.38,,,,,9.86,,,29.6,,,,,,,,,,,,,,,,,,,
18,,Ag,,,,(2.43),,,,,ppm,,,0.541,,,,,1.55,,,4.64,,,,,,,,,,,,,,,,,,,
19,,Sr,,,,2.16,,,,,ppm,,,0.211,,,,,0.590,,,1.77,,,,,,,,,,,,,,,,,,,
20,,Pb,,,,ND,,,,,ppm,,,0.832,,,,,2.46,,,7.39,,,,,,,,,,,,,,,,,,,
21,,Au,,,,ND,,,,,ppm,,,1.01,,,,,3.06,,,9.18,,,,,,,,,,,,,,,,,,,
22,,K,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Ti,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,V,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,Cr,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,Se,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Br,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Rb,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,Y,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,Zr,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,Mo,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,Ru,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Rh,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,Pd,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,Sn,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,Sb,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,Pt,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,Sc,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,Na,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,Mg,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<Notes>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Sample Spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,







































,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
