,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

16,,Sr,,,,3.31,,,,,ppm,,,0.204,,,,,0.551,,,1.65,,,,,,,,,,,,,,,,,,,
17,,Cr,,,,ND,,,,,ppm,,,3.76,,,,,10.9,,,32.6,,,,,,,,,,,,,,,,,,,
18,,Ag,,,,(2.44),,,,,ppm,,,0.521,,,,,1.48,,,4.44,,,,,,,,,,,,,,,,,,,
19,,Br,,,,ND,,,,,ppm,,,0.133,,,,,0.383,,,1.15,,,,,,,,,,,,,,,,,,,
20,,Y,,,,ND,,,,,ppm,,,0.227,,,,,0.686,,,2.06,,,,,,,,,,,,,,,,,,,
21,,Sb,,,,ND,,,,,ppm,,,1.28,,,,,3.90,,,11.7,,,,,,,,,,,,,,,,,,,
22,,Au,,,,ND,,,,,ppm,,,1.11,,,,,3.34,,,10.0,,,,,,,,,,,,,,,,,,,
23,,Sc,,,,ND,,,,,ppm,,,16.4,,,,,52.7,,,158,,,,,,,,,,,,,,,,,,,
24,,Al,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,P,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,K,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Ti,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,V,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,Se,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,Rb,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,Zr,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,Mo,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Ru,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,Rh,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,Pd,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,Sn,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,Pt,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,Pb,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,Na,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,Mg,,,,ND,,,,,ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<Notes>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Sample Spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,







































,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
